property,violation_count
P117,1075
P141,0
P163,23
P194,45
P201,136
P209,19
P212,12307
P223,3623
P229,31
P230,20
P233,205
P234,66
P236,70643
P241,10376
P36,1175
P53,2149
P59,246
P65,3394
P78,32
P85,84
P10079,0
P10113,0
P10176,0
P10232,0
P1025,3129
P1028,106
P10307,35
P1033,0
P10339,2
P10374,4
P1044,2
P1052,0
P10581,0
P10604,0
P10627,1
P10640,5
P10648,6
P10680,0
P10681,0
P1069,0
P10718,1
P10726,1
P10731,0
P10732,1
P10733,0
P10734,0
P10735,0
P10736,0
P10737,0
P10738,0
P10739,0
P10743,0
P10744,0
P10745,1
P10746,0
P10747,0
P1079,0
P1082,222767
P10823,5
P1083,1009
P1084,2
P10859,0
P1087,15844
P1088,8
P10892,0
P1092,198
P11034,0
P1128,18708
P11293,107
P11372,0
P11385,0
P11387,0
P11429,1
P1143,88
P1145,0
P1149,320
P1150,153
P1151,1
P11530,0
P11550,7
P11590,1
P1161,0
P1162,3
P11626,2
P11627,0
P11645,0
P1172,1
P1174,22788
P1183,9
P1189,2
P1196,852
P11962,2
P11964,1
P1199,1
P1200,0
P1201,1
P12030,1
P1204,118
P12044,0
P12050,0
P1208,7
P12081,0
P1209,10
P12095,0
P12099,0
P12110,4
P1213,52
P12168,0
P12221,4
P12355,7
P12369,1
P12411,0
P12413,0
P12441,0
P12443,1
P12446,0
P1245,12
P12456,1
P12468,3
P12470,0
P12471,0
P1249,103
P1250,22
P12503,0
P12505,0
P12549,2
P1256,108
P12563,0
P12565,2
P1259,0
P12593,0
P12617,1
P12692,0
P12700,0
P1283,21
P12849,0
P12981,3
P1304,2
P13215,0
P1332,8
P1333,7
P1334,8
P1335,8
P1338,13
P13380,0
P1346,51194
P13464,0
P13484,1
P13493,5
P13504,0
P13572,2
P13573,0
P13612,35
P13616,23
P1403,4
P1424,1597
P1427,748
P1434,123
P1454,3457
P1455,102
P1464,30
P1465,2
P1472,27
P1539,7960
P1540,8040
P1545,232
P1546,11
P1549,10496
P1571,4
P1575,1
P1589,8
P1612,0
P1632,0
P1636,20
P1639,12
P1654,47
P1689,1
P1690,3
P1693,10
P1694,16
P1696,2
P1705,53305
P1740,0
P1752,9
P1753,135
P1762,10
P1791,2
P1792,61
P1793,7
P1811,12
P1830,7510
P1851,0
P1881,66
P1897,0
P1898,1
P1921,2
P1922,683
P1973,12
P1999,40
P2009,142
P2033,2
P2098,9
P2106,0
P2114,135
P2127,0
P2131,220
P2132,8
P2133,9
P2135,2
P2136,1
P2139,34171
P2209,7
P2211,0
P2220,0
P2225,82
P2226,43
P2272,140
P2295,174
P2299,1
P2363,2
P2370,25
P2374,0
P2393,1
P2394,0
P2396,3
P2411,1
P2421,0
P2425,187
P2460,0
P2462,0
P2487,0
P2490,0
P2517,42
P2537,21
P2597,0
P2629,71
P2633,2
P2666,3
P2667,45
P2681,2
P2682,1
P2687,81
P274,173
P2744,0
P2754,1375
P2756,100
P2761,0
P2786,0
P2820,0
P2831,2
P2832,2
P2873,0
P2875,0
P2892,4836
P2898,0
P2913,182
P2986,7
P2988,0
P3037,0
P3068,0
P3069,2
P3096,1
P3132,52
P3156,56
P3195,0
P3212,37
P3264,1
P3290,0
P3467,1
P3518,15
P353,1
P3592,0
P3648,15
P373,3180
P3732,4
P375,42
P376,0
P3764,13
P377,1
P3822,331
P3825,5
P3837,0
P3871,0
P3872,3121
P3876,15
P3934,14
P3984,903
P4010,0
P4020,0
P4109,34
P4111,0
P418,1
P4195,9
P4202,0
P432,13
P4435,0
P4509,1
P4589,54
P461,839
P4661,22
P470,12
P4743,32
P4843,0
P4884,39
P489,2
P4951,0
P4973,0
P503,6
P5049,0
P5053,12
P5123,39
P5125,0
P5143,12
P5148,0
P5180,2
P5205,1331
P5277,25
P5280,214
P5285,0
P5427,0
P5428,0
P5444,0
P552,41
P5536,0
P555,1
P556,11
P5565,0
P5568,105
P557,72
P561,30
P562,277
P563,95
P564,1
P566,2
P5686,1
P5688,0
P5755,2
P5814,4
P5817,213
P585,4671
P587,19
P5894,17
P5962,1
P5965,4
P5996,1
P6081,100
P619,1
P6204,1
P621,0
P6210,0
P6216,2769
P6219,5
P6229,0
P6243,0
P6259,11
P6370,0
P6385,61
P6449,1
P6482,0
P6484,0
P6507,1728
P652,844
P653,0
P663,0
P6650,0
P6657,0
P6658,4
P6765,19
P6857,3
P6889,23
P690,56
P6916,8
P6931,34
P6938,0
P6939,2
P694,31
P6954,6
P6997,0
P7009,0
P7073,0
P7074,0
P708,866
P7087,0
P7094,6
P712,0
P713,0
P714,2
P7144,0
P7161,0
P7163,102
P729,373
P730,118
P7336,3
P7338,0
P7363,509
P7377,10
P7497,0
P7559,0
P7561,19
P7574,62
P7576,71
P7582,14
P7600,0
P7601,0
P7607,82
P7704,39
P773,0
P7749,143
P7789,1
P779,128
P782,4
P7949,6
P7957,0
P8119,20
P813,1
P814,318
P815,184
P8176,2
P8189,1581
P8225,37
P8247,8
P8248,11
P8346,2
P835,48
P8378,0
P8416,0
P8443,73
P8464,3
P8480,1
P849,0
P852,57
P853,15
P8558,0
P8596,17
P8597,39
P862,0
P8620,0
P8621,0
P8622,0
P8625,1
P8628,6
P8654,0
P8713,13
P8744,1
P8751,0
P8757,12
P877,0
P8778,1
P8832,0
P8865,15
P8874,5
P8881,10
P8889,6
P8894,1
P8901,2
P8933,37
P8939,3
P8963,0
P8989,123
P901,18
P9028,0
P9052,0
P908,51
P914,55
P916,1
P9241,0
P9311,1
P9313,0
P9317,0
P9323,0
P935,16
P9373,0
P9453,0
P952,21
P9521,1
P957,1040
P9574,0
P9602,28
P9604,0
P9667,0
P9687,0
P9688,0
P9790,0
P9798,0
P9863,1
P9888,0
P9905,0
P993,0
P994,0
P995,0
P9974,0
P999,1
P9997,0
P9998,0
