From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (GO)	Gene Ontology IDs
P51610	P51610	reviewed	HCFC1_HUMAN	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	HCFC1 HCF1 HFC1	cytoplasm [GO:0005737]; histone acetyltransferase complex [GO:0000123]; histone methyltransferase complex [GO:0035097]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; neuronal cell body [GO:0043025]; NSL complex [GO:0044545]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; Set1C/COMPASS complex [GO:0048188]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; blastocyst hatching [GO:0001835]; chromatin remodeling [GO:0006338]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell cycle [GO:0045787]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; regulation of DNA-templated transcription [GO:0006355]; regulation of protein-containing complex assembly [GO:0043254]; release from viral latency [GO:0019046]	GO:0000122; GO:0000123; GO:0000978; GO:0001835; GO:0003682; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0006338; GO:0006355; GO:0010628; GO:0016020; GO:0019046; GO:0030674; GO:0031490; GO:0032991; GO:0035097; GO:0042802; GO:0043025; GO:0043254; GO:0044545; GO:0044665; GO:0045296; GO:0045787; GO:0045893; GO:0045944; GO:0048188; GO:0050821; GO:0071339; GO:0140297
Q8TB36	Q8TB36	reviewed	GDAP1_HUMAN	Ganglioside-induced differentiation-associated protein 1 (GDAP1)	GDAP1	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal membrane [GO:0005778]; cellular response to vitamin D [GO:0071305]; mitochondrial fission [GO:0000266]; mitochondrial fusion [GO:0008053]; protein targeting to mitochondrion [GO:0006626]; response to retinoic acid [GO:0032526]	GO:0000266; GO:0005634; GO:0005739; GO:0005741; GO:0005778; GO:0005829; GO:0006626; GO:0008053; GO:0016020; GO:0032526; GO:0071305
O14818	O14818	reviewed	PSA7_HUMAN	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7) (Proteasome subunit alpha-4) (alpha-4)	PSMA7 HSPC	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]; identical protein binding [GO:0042802]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0019773; GO:0042802; GO:0043161; GO:0070062
Q96DX5	Q96DX5	reviewed	ASB9_HUMAN	Ankyrin repeat and SOCS box protein 9 (ASB-9)	ASB9	Cul5-RING ubiquitin ligase complex [GO:0031466]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]; intracellular signal transduction [GO:0035556]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]	GO:0005739; GO:0005829; GO:0016567; GO:0031466; GO:0035556; GO:0043161; GO:0045732; GO:1990756
O95631	O95631	reviewed	NET1_HUMAN	Netrin-1 (Epididymis tissue protein Li 131P)	NTN1 NTN1L	actin cytoskeleton [GO:0015629]; basement membrane [GO:0005604]; cytosol [GO:0005829]; extracellular region [GO:0005576]; glutamatergic synapse [GO:0098978]; nucleoplasm [GO:0005654]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; anterior/posterior axon guidance [GO:0033564]; apoptotic process [GO:0006915]; Cdc42 protein signal transduction [GO:0032488]; cell-cell adhesion [GO:0098609]; chemorepulsion of axon [GO:0061643]; glial cell proliferation [GO:0014009]; inner ear morphogenesis [GO:0042472]; mammary gland duct morphogenesis [GO:0060603]; motor neuron migration [GO:0097475]; negative regulation of axon extension [GO:0030517]; nuclear migration [GO:0007097]; positive regulation of axon extension [GO:0045773]; positive regulation of cell motility [GO:2000147]; positive regulation of glial cell proliferation [GO:0060252]; Ras protein signal transduction [GO:0007265]; regulation of glial cell migration [GO:1903975]; regulation of synapse assembly [GO:0051963]; regulation of transcription by RNA polymerase II [GO:0006357]; substrate-dependent cell migration, cell extension [GO:0006930]	GO:0000978; GO:0000981; GO:0005576; GO:0005604; GO:0005654; GO:0005829; GO:0006357; GO:0006915; GO:0006930; GO:0007097; GO:0007265; GO:0014009; GO:0015629; GO:0030517; GO:0032488; GO:0033564; GO:0042472; GO:0045773; GO:0051963; GO:0060252; GO:0060603; GO:0061643; GO:0097475; GO:0098609; GO:0098978; GO:1903975; GO:2000147
Q92734	Q92734	reviewed	TFG_HUMAN	Protein TFG (TRK-fused gene protein)	TFG	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum exit site [GO:0070971]; identical protein binding [GO:0042802]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]	GO:0005737; GO:0005829; GO:0006888; GO:0042802; GO:0043123; GO:0048208; GO:0070971
P42566	P42566	reviewed	EPS15_HUMAN	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)	EPS15 AF1P	aggresome [GO:0016235]; AP-2 adaptor complex [GO:0030122]; apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; ciliary membrane [GO:0060170]; clathrin coat of coated pit [GO:0030132]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynaptic endocytic zone [GO:0098843]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein-macromolecule adaptor activity [GO:0030674]; SH3 domain binding [GO:0017124]; ubiquitin binding [GO:0043130]; clathrin coat assembly [GO:0048268]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; endosomal transport [GO:0016197]; Golgi to endosome transport [GO:0006895]; positive regulation of receptor recycling [GO:0001921]; postsynaptic neurotransmitter receptor internalization [GO:0098884]; receptor-mediated endocytosis of virus by host cell [GO:0019065]; regulation of cell population proliferation [GO:0042127]; regulation of protein localization [GO:0032880]; symbiont entry into host cell [GO:0046718]; ubiquitin-dependent endocytosis [GO:0070086]; vesicle organization [GO:0016050]	GO:0001921; GO:0005509; GO:0005737; GO:0005829; GO:0005886; GO:0005905; GO:0006895; GO:0006897; GO:0009925; GO:0016020; GO:0016050; GO:0016197; GO:0016235; GO:0016324; GO:0017124; GO:0019065; GO:0030122; GO:0030132; GO:0030674; GO:0031593; GO:0031901; GO:0032456; GO:0032880; GO:0042127; GO:0042802; GO:0043130; GO:0045296; GO:0046718; GO:0048268; GO:0060170; GO:0070086; GO:0098843; GO:0098884; GO:0098978
Q8NFJ5	Q8NFJ5	reviewed	RAI3_HUMAN	Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1)	GPRC5A GPCR5A RAI3 RAIG1	cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; vesicle [GO:0031982]; cadherin binding [GO:0045296]; G protein-coupled receptor activity [GO:0004930]; protein kinase activator activity [GO:0030295]; negative regulation of epidermal growth factor-activated receptor activity [GO:0007175]; signal transduction [GO:0007165]	GO:0004930; GO:0005730; GO:0005886; GO:0007165; GO:0007175; GO:0030295; GO:0030659; GO:0031982; GO:0043235; GO:0045296; GO:0070062
Q9H3K6	Q9H3K6	reviewed	BOLA2_HUMAN	BolA-like protein 2	BOLA2 BOLA2A My016; BOLA2B	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron-sulfur cluster assembly complex [GO:1990229]; nucleus [GO:0005634]; 2 iron, 2 sulfur cluster binding [GO:0051537]; iron-sulfur cluster binding [GO:0051536]; [2Fe-2S] cluster assembly [GO:0044571]; cell redox homeostasis [GO:0045454]; intracellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]; protein maturation [GO:0051604]	GO:0005634; GO:0005737; GO:0005829; GO:0006879; GO:0016226; GO:0044571; GO:0045454; GO:0051536; GO:0051537; GO:0051604; GO:1990229
P04234	P04234	reviewed	CD3D_HUMAN	T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d)	CD3D T3D	alpha-beta T cell receptor complex [GO:0042105]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101]; identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; alpha-beta T cell activation [GO:0046631]; cell surface receptor signaling pathway [GO:0007166]; positive thymic T cell selection [GO:0045059]; T cell receptor signaling pathway [GO:0050852]	GO:0002250; GO:0004888; GO:0005737; GO:0005886; GO:0007166; GO:0009897; GO:0030669; GO:0042101; GO:0042105; GO:0042802; GO:0045059; GO:0046631; GO:0050852
